E ID,date,description,amount,category
1,01/04/2012,"Food Bazaar Supermarkets",154.00,grocery
2,01/28/2012,"Market of Choice",44.00,grocery
3,01/24/2012,"Tesco",45.00,grocery
4,01/01/2012,"Chevron",58.00,transportation
5,01/27/2012,"Airport",55.00,transportation
6,01/17/2012,"Flying J",44.00,transportation
7,01/29/2012,"Southwest",90.00,transportation
8,01/23/2012,"Marathon Oil",97.00,transportation
9,01/29/2012,"Greyhound",63.00,transportation
10,01/22/2012,"JetBlue",91.00,transportation
11,01/06/2012,"movie",13.00,entertainment
12,01/22/2012,"CVS",185.00,home
13,01/17/2012,"Boscov's",155.00,shopping
14,01/29/2012,"The Bon-Ton",99.00,shopping
15,01/19/2012,"Von Maur",38.00,shopping
16,01/12/2012,"Dillard's",97.00,shopping
17,01/23/2012,"Tennesse Valley Authority",207.00,utilities
18,01/11/2012,"Tennesse Valley Authority",246.00,utilities
19,01/27/2012,"Donatos Pizza",5.00,restaurants
419,01/15/2012,"Cinnabon",30.00,restaurants
784,01/08/2012,"Kroger brand gasoline",20.00,transportation
1242,01/13/2012,"Carnival",91.00,transportation
20,02/27/2012,"CAM Asian Market",145.00,grocery
21,02/28/2012,"Compare Foods Supermarket",166.00,grocery
22,02/26/2012,"Food Bazaar Supermarkets",66.00,grocery
23,02/19/2012,"Texaco",96.00,transportation
24,02/18/2012,"bus",48.00,transportation
25,02/04/2012,"ferry",21.00,transportation
26,02/26/2012,"Cumberland Farms",79.00,transportation
27,02/09/2012,"books",5.00,entertainment
28,02/14/2012,"books a million",11.00,entertainment
29,02/20/2012,"books a million",27.00,entertainment
30,02/18/2012,"Tmobile",211.00,utilities
31,02/05/2012,"Ledo Pizza",42.00,restaurants
32,02/03/2012,"Spangles (restaurant)",22.00,restaurants
33,02/16/2012,"Country Buffet",39.00,restaurants
34,02/07/2012,"Golden Corral",5.00,restaurants
35,02/21/2012,"Landry's Restaurants",9.00,restaurants
36,02/09/2012,"Fuddruckers",12.00,restaurants
37,02/05/2012,"Don Pablo's",31.00,restaurants
38,02/24/2012,"The Melting Pot",48.00,restaurants
39,02/27/2012,"Rally's",20.00,restaurants
40,02/26/2012,"Runza",28.00,restaurants
1257,02/25/2012,"joseph-beth booksellers",19.00,entertainment
41,03/05/2012,"Roth's Fresh Markets",124.00,grocery
42,03/23/2012,"walgreens",150.00,home
43,03/20/2012,"Lowes",137.00,home
44,03/11/2012,"walgreens",202.00,home
45,03/02/2012,"Ebaybv",136.00,shopping
46,03/15/2012,"Alabama Power",164.00,utilities
47,03/16/2012,"Coco's Bakery",28.00,restaurants
48,03/31/2012,"Green Burrito",31.00,restaurants
49,03/30/2012,"Auntie Anne's",12.00,restaurants
50,03/28/2012,"Green Burrito",35.00,restaurants
51,03/28/2012,"FATZ",23.00,restaurants
445,03/27/2012,"Parisian (Bon-Ton)",64.00,shopping
817,03/19/2012,"Saks Fifth Avenue",73.00,shopping
818,03/14/2012,"Boscov's",173.00,shopping
1272,03/01/2012,"Citgo",48.00,transportation
1273,03/23/2012,"Office Depot",296.00,home
52,04/20/2012,"Speedway",78.00,transportation
53,04/09/2012,"subway",38.00,transportation
54,04/01/2012,"Marathon Oil",92.00,transportation
55,04/20/2012,"Shell",43.00,transportation
56,04/12/2012,"Murphy USA",91.00,transportation
57,04/19/2012,"Chevron",100.00,transportation
58,04/12/2012,"6pm",19.00,home
