eid	date	description	amount	category
1	1/23/2012	Haggen Food & Pharmacy	187	grocery
2	1/21/2012	"Spec's Wine, Spirits & Finer Foods"	73	grocery
3	1/18/2012	Speedway	29	transportation
4	1/7/2012	Speedway	80	transportation
5	1/2/2012	gas	63	transportation
6	1/23/2012	QuikTrip	54	transportation
7	1/17/2012	books	25	entertainment
8	1/17/2012	dvd	6	entertainment
9	1/28/2012	Regal	6	entertainment
10	1/7/2012	GAP	123	shopping
11	1/15/2012	H&M	39	shopping
12	1/20/2012	Belk	34	shopping
13	1/11/2012	Herberger's	150	shopping
14	1/23/2012	Neiman Marcus	24	shopping
15	1/21/2012	Luby's	30	restaurants
16	1/24/2012	Seattle's Best Coffee	45	restaurants
17	1/8/2012	Lee Roy Selmon's	21	restaurants
18	1/23/2012	Ruth's Chris Steak House	41	restaurants
19	1/19/2012	Bojangles' Famous Chicken 'n Biscuits	24	restaurants
20	1/29/2012	Denny's	44	restaurants
21	1/29/2012	Friendly's	35	restaurants
22	1/19/2012	Redstone American Grill	48	restaurants
458	1/23/2012	Southwest	82	transportation
23	2/11/2012	Bashas'	33	grocery
24	2/28/2012	99 Ranch Market	128	grocery
25	2/20/2012	Murphy USA	22	transportation
26	2/1/2012	Netflix	11	entertainment
27	2/21/2012	Netflix	29	entertainment
28	2/28/2012	Target	361	home
29	2/12/2012	Home Depot	18	home
30	2/19/2012	Kohl's	86	shopping
31	2/12/2012	Godfather's Pizza	19	restaurants
32	2/9/2012	Buca di Beppo	15	restaurants
470	2/27/2012	gas	22	transportation
1339	2/23/2012	Citgo	68	transportation
33	3/22/2012	BP	63	transportation
34	3/19/2012	QuikTrip	55	transportation
35	3/20/2012	MARTA	65	transportation
36	3/25/2012	Sinclair	82	transportation
37	3/21/2012	Citgo	79	transportation
38	3/27/2012	Lukoil	81	transportation
39	3/5/2012	Newegg	232	home
40	3/12/2012	Newegg	13	home
41	3/17/2012	Home Depot	218	home
42	3/17/2012	Radioshack	312	home
43	3/16/2012	Saks Fifth Avenue	179	shopping
44	3/13/2012	Younkers	29	shopping
45	3/9/2012	Neiman Marcus	151	shopping
46	3/15/2012	Lord & Taylor	117	shopping
47	3/15/2012	Hollister	163	shopping
48	3/30/2012	Sneaky Pete's	10	restaurants
49	3/30/2012	Shoney's	23	restaurants
50	3/14/2012	McAlister's Deli	5	restaurants
51	3/5/2012	Jason's Deli	17	restaurants
52	3/30/2012	Green Mill	31	restaurants
53	3/3/2012	Which Wich?	28	restaurants
1356	3/13/2012	Mi Pueblo Food Center	180	grocery
54	4/21/2012	Sullivan's Foods	93	grocery
55	4/27/2012	Roth's Fresh Markets	97	grocery
56	4/18/2012	Airport	43	transportation
57	4/17/2012	Greyhound	24	transportation
58	4/24/2012	Cumberland Farms	98	transportation
59	4/17/2012	7-Eleven brand gasoline	100	transportation
60	4/22/2012	Texaco	74	transportation
61	4/21/2012	JetBlue	97	transportation
62	4/5/2012	Travelcenters of America	72	transportation
63	4/9/2012	dvds	16	entertainment
64	4/28/2012	dvds	18	entertainment
65	4/27/2012	movies	17	entertainment
66	4/24/2012	CVS	418	home
67	4/15/2012	CVS	57	home
68	4/2/2012	Target	224	home
69	4/19/2012	Southern Company	227	utilities
70	4/4/2012	East of Chicago Pizza	41	restaurants
71	4/13/2012	The Old Spaghetti Factory	49	restaurants
72	4/14/2012	Milo's Hamburgers	18	restaurants
73	4/13/2012	Famous Dave's	24	restaurants
74	4/6/2012	Coco's Bakery	8	restaurants
75	4/28/2012	Dunkin' Donuts	40	restaurants
76	4/30/2012	Cold Stone Creamery	13	restaurants
77	4/3/2012	Which Wich?	11	restaurants
78	4/25/2012	Quaker Steak & Lube	31	restaurants
79	4/13/2012	Valentino's	22	restaurants
504	4/12/2012	Saks Fifth Avenue	140	shopping
940	4/12/2012	Staples	466	home
943	4/2/2012	Hollister	157	shopping
80	5/18/2012	Chevron	33	transportation
81	5/8/2012	Speedway	67	transportation
82	5/6/2012	Amoco	67	transportation
83	5/29/2012	RaceTrac/Raceway	81	transportation
84	5/21/2012	Murphy USA	27	transportation
85	5/24/2012	Greyhound	97	transportation
86	5/2/2012	books	23	entertainment
87	5/9/2012	Netflix	21	entertainment
88	5/21/2012	movie	6	entertainment
89	5/14/2012	Staples	143	home
90	5/5/2012	Southern Company	227	utilities
91	5/19/2012	Georgia Power	256	utilities
92	5/3/2012	Benihana	24	restaurants
93	5/15/2012	Valentino's	44	restaurants
94	5/8/2012	Montana Mike's	5	restaurants
95	5/3/2012	Boston Market	19	restaurants
