id	user_id	paid	share
110	1	6.99	6.99
111	1	7.98	7.98
112	1	21.25	21.25
113	1	16.24	16.24
114	1	33.18	33.18
115	1	30.75	30.75
116	1	10.00	10.00
117	1	6.16	6.16
118	1	4.63	4.63
119	1	2.79	2.79
120	1	1.83	1.83
121	1	29.97	29.97
122	1	8.64	8.64
123	1	5.17	5.17
124	1	14.31	14.31
125	1	10.41	10.41
126	1	50.80	50.80
127	1	42.60	42.60
128	1	35.00	35.00
129	1	25.00	25.00
130	1	16.18	16.18
131	1	8.00	8.00
132	1	7.50	7.50
133	1	2.79	2.79
134	1	49.03	49.03
135	1	36.37	36.37
136	1	8.57	8.57
137	1	36.50	36.50
138	1	10.80	10.80
139	1	5.00	5.00
140	1	3.01	3.01
0	2	14.24	7.12
0	3	0	7.12
1	1	0	5.21
1	2	10.42	5.21
141	1	23.00	23.00
142	1	12.00	12.00
143	1	6.00	6.00
38	1	0	14.63
38	2	14.63	0
52	1	0	21.54
52	2	64.62	21.54
52	3	0	21.54
53	1	0	5.2
53	2	15.59	5.2
53	3	0	5.19
54	1	0	22.04
54	2	0	26.97
54	3	75.97	26.96
144	1	7.42	7.42
39	1	3.0	0
39	2	0	3.0
145	1	32.86	32.86
146	1	20.00	20.00
147	1	7.93	7.93
2	1	0	9.89
2	2	19.78	9.89
148	1	6.47	6.47
55	1	0	5.0
55	2	0	5.0
55	3	15.0	5.0
56	1	53.64	17.88
56	2	0	17.88
56	3	0	17.88
155	1	53.64	53.64
57	1	0	8.64
57	2	29.99	8.63
57	3	0	12.72
149	1	12.80	12.80
3	1	0	7.19
3	2	14.38	7.19
58	1	23.22	11.61
58	2	23.22	11.61
58	3	0	23.22
59	1	960.0	350.0
59	2	0	350.0
59	3	0	260.0
60	1	0	20.8
60	2	0	20.8
60	3	62.41	20.81
150	1	30.75	30.75
151	1	2.15	2.15
152	1	5.00	5.00
4	1	0	9.35
4	2	18.7	9.35
40	2	0	5.84
40	3	5.84	0
153	1	4.18	4.18
5	1	0	5.21
5	2	10.42	5.21
154	1	6.75	6.75
6	1	0	9.35
6	2	18.7	9.35
61	1	42.0	37.5
61	2	42.0	36.5
61	3	0	10.0
62	1	137.34	45.78
62	2	0	45.78
62	3	0	45.78
63	1	0	2.93
63	2	0	2.93
63	3	0	2.93
7	1	10.4	5.2
7	2	0	5.2
156	1	10.41	10.41
157	1	1.39	1.39
64	1	0	4.33
64	2	0	4.34
64	3	19.34	10.67
8	1	19.0	9.5
8	2	0	9.5
9	1	12.14	6.07
9	2	0	6.07
158	1	38.90	38.90
159	1	19.00	19.00
160	1	12.15	12.15
10	1	0	18.0
10	3	36.0	18.0
11	1	0	3.8
11	3	7.6	3.8
65	1	0	15.8
65	2	0	15.8
65	3	47.4	15.8
12	1	25.0	12.5
12	2	0	12.5
13	1	0	5.09
13	2	10.18	5.09
41	1	0	7.02
41	3	7.02	0
42	1	11.0	0
42	2	0	11.0
43	1	3.99	0
43	2	0	3.99
66	1	0	3.44
66	2	0	3.44
66	3	10.31	3.43
67	1	28.0	9.33
67	2	0	9.33
67	3	0	9.34
68	1	0	0.85
68	2	2.56	0.85
68	3	0	0.86
161	1	9.49	9.49
162	1	47.25	47.25
14	1	20.0	10.0
14	2	0	10.0
69	1	0	4.83
69	2	14.5	4.83
69	3	0	4.84
70	1	6.0	2.0
70	2	0	2.0
70	3	0	2.0
44	2	0	3.0
44	3	3.0	0
71	1	0	4.68
71	2	0	4.68
71	3	14.03	4.67
72	1	0	15.76
72	2	25.13	0.0
72	3	0	9.37
163	1	60.72	60.72
164	1	38.10	38.10
15	1	0	2.34
15	2	4.68	2.34
73	1	0	15.72
73	2	41.08	11.73
73	3	0	13.63
74	1	0	350.0
74	2	960.0	350.0
74	3	0	260.0
16	1	23.0	11.5
16	2	0	11.5
75	1	0	10.32
75	2	30.96	10.32
75	3	0	10.32
76	1	0	5.25
76	2	0	5.25
76	3	15.75	5.25
77	1	0	7.33
77	2	0	7.33
77	3	22.0	7.34
78	1	0	43.82
78	2	0	43.82
78	3	131.47	43.83
79	1	0	5.33
79	2	16.0	5.33
79	3	0	5.34
165	1	23.00	23.00
166	1	10.75	10.75
45	1	14.0	0
45	2	0	14.0
167	1	30.75	30.75
168	1	43.00	43.00
80	1	52.58	17.53
80	2	0	17.53
80	3	0	17.52
169	1	27.64	27.64
170	1	20.00	20.00
171	1	10.00	10.00
81	1	0	12.9
81	2	0	8.6
81	3	32.65	11.15
82	1	99.74	33.25
82	2	0	33.25
82	3	0	33.24
172	1	2.47	2.47
173	1	21.27	21.27
174	1	5.13	5.13
175	1	5.40	5.40
176	1	21.72	21.72
177	1	15.07	15.07
178	1	13.00	13.00
179	1	12.00	12.00
180	1	6.08	6.08
181	1	5.40	5.40
17	1	12.4	6.2
17	2	0	6.2
18	1	3.4	1.7
18	3	0	1.7
83	1	10.5	3.5
83	2	0	3.5
83	3	0	3.5
182	1	12.41	12.41
183	1	5.00	5.00
184	1	1.39	1.39
185	1	27.09	27.09
186	1	17.43	17.43
187	1	7.77	7.77
188	1	5.15	5.15
189	1	4.20	4.20
190	1	3.34	3.34
191	1	5.40	5.40
192	1	1.39	1.39
19	1	0	6.21
19	2	12.42	6.21
20	1	0	3.11
20	2	6.22	3.11
46	2	12.1	0
46	3	0	12.1
84	1	0	7.33
84	2	22.0	7.33
84	3	0	7.34
85	1	0	16.26
85	2	48.77	16.26
85	3	0	16.25
193	1	61.16	61.16
194	1	6.75	6.75
195	1	3.40	3.40
196	1	1.39	1.39
21	1	0	3.13
21	2	6.26	3.13
86	1	0	17.14
86	2	0	17.14
86	3	51.42	17.14
22	1	3.98	1.99
22	2	0	1.99
87	1	5.72	1.91
87	2	0	1.91
87	3	0	1.9
197	1	80.00	80.00
198	1	5.93	5.93
88	1	57.69	19.23
88	2	0	19.23
88	3	0	19.23
199	1	3.40	3.40
89	1	0	10.0
89	2	29.99	10.0
89	3	0	9.99
200	1	15.00	15.00
90	1	0	350.0
90	2	960.0	350.0
90	3	0	260.0
23	2	20.44	10.22
23	3	0	10.22
201	1	11.00	11.00
202	1	8.43	8.43
203	1	100.00	100.00
91	1	73.51	24.5
91	2	0	24.5
91	3	0	24.51
204	1	27.00	27.00
205	1	12.77	12.77
92	1	3.18	1.06
92	2	0	1.06
92	3	0	1.06
227	1	73.51	73.51
206	1	5.40	5.40
207	1	5.23	5.23
208	1	15.00	15.00
209	1	10.00	10.00
210	1	25.00	25.00
24	1	0	2.45
24	2	4.9	2.45
25	1	16.0	8.0
25	2	0	8.0
211	1	16.00	16.00
212	1	15.00	15.00
213	1	8.48	8.48
214	1	1.17	1.17
47	1	2.0	0
47	3	0	2.0
215	1	9.95	9.95
26	2	14.36	7.18
26	3	0	7.18
48	1	0	24.52
48	2	24.52	0
93	1	0	37.87
93	2	0	37.87
93	3	113.61	37.87
216	1	35.00	35.00
217	1	16.50	16.50
49	2	0	1.64
49	3	1.64	0
94	1	0	5.2
94	2	15.59	5.2
94	3	0	5.19
218	1	12.85	12.85
95	1	50.98	17.0
95	2	0	16.99
95	3	0	16.99
228	1	50.98	50.98
96	1	0	15.15
96	2	45.46	15.15
96	3	0	15.16
219	1	30.75	30.75
220	1	15.00	15.00
221	1	11.33	11.33
222	1	10.75	10.75
97	1	960.0	350.0
97	2	0	350.0
97	3	0	260.0
223	1	8.37	8.37
98	1	85.72	28.57
98	2	0	28.57
98	3	0	28.58
224	1	338.03	338.03
225	1	6.60	6.60
99	1	0	11.0
99	2	33.0	11.0
99	3	0	11.0
226	1	15.00	15.00
229	1	85.72	85.72
27	1	0	2.45
27	2	4.9	2.45
28	1	35.24	8.81
28	3	0	26.43
29	1	14.44	7.22
29	2	0	7.22
100	1	7.6	0.0
100	2	0	3.8
100	3	0	3.8
101	1	3.0	1.0
101	2	0	1.0
101	3	0	1.0
30	1	0	2.5
30	2	5.0	2.5
50	1	0	2.5
50	2	2.5	0
102	1	0	15.89
102	2	47.66	15.89
102	3	0	15.88
103	1	0	0.89
103	2	2.66	0.89
103	3	0	0.88
31	1	0	6.4
31	2	12.8	6.4
32	1	10.5	5.25
32	2	0	5.25
33	1	10.86	5.43
33	2	0	5.43
104	1	46.63	15.54
104	2	0	15.55
104	3	0	15.54
105	1	0	13.7
105	2	41.12	13.71
105	3	0	13.71
34	1	13.0	6.5
34	2	0	6.5
106	1	960.0	350.0
106	2	0	350.0
106	3	0	260.0
107	1	72.43	24.14
107	2	0	24.15
107	3	0	24.14
35	1	0	10.8
35	2	21.6	10.8
36	1	0	8.7
36	2	17.4	8.7
37	1	8.5	4.25
37	2	0	4.25
51	1	15.5	0
51	2	0	15.5
108	1	14.7	4.9
108	2	0	4.9
108	3	0	4.9
109	1	20.68	6.89
109	2	0	6.9
109	3	0	6.89
